x,y,yaw
-19.9417,24.9193,-3.0729
-20.0548,24.9123,-3.0767
-20.1654,24.9023,-3.0576
-20.2772,24.8914,-3.0500
-20.3900,24.8809,-3.0513
-20.5036,24.8716,-3.0574
-20.6168,24.8616,-3.0526
-20.7308,24.8505,-3.0477
-20.8457,24.8395,-3.0472
-20.9600,24.8298,-3.0559
-21.0734,24.8199,-3.0521
-21.1862,24.8072,-3.0363
-21.2996,24.7938,-3.0288
-21.4120,24.7811,-3.0272
-21.5240,24.7652,-3.0097
-21.6368,24.7499,-3.0103
-21.7503,24.7347,-3.0083
-21.8640,24.7182,-3.0015
-21.9778,24.7022,-3.0010
-22.0916,24.6847,-2.9928
-22.2059,24.6672,-2.9917
-22.3196,24.6494,-2.9865
-22.4336,24.6307,-2.9819
-22.5475,24.6129,-2.9849
-22.6604,24.5940,-2.9783
-22.7730,24.5749,-2.9742
-22.8846,24.5541,-2.9626
-22.9965,24.5325,-2.9540
-23.1082,24.5091,-2.9412
-23.2196,24.4851,-2.9329
-23.3316,24.4607,-2.9308
-23.4419,24.4360,-2.9225
-23.5521,24.4106,-2.9184
-23.6618,24.3839,-2.9075
-23.7715,24.3562,-2.8986
-23.8810,24.3286,-2.8958
-23.9896,24.2990,-2.8827
-24.0977,24.2689,-2.8732
-24.2066,24.2381,-2.8691
-24.3149,24.2060,-2.8570
-24.4223,24.1721,-2.8438
-24.5309,24.1384,-2.8427
-24.6391,24.1038,-2.8346
-24.7461,24.0680,-2.8231
-24.8531,24.0304,-2.8103
-24.9606,23.9927,-2.8073
-25.0680,23.9541,-2.7994
-25.1746,23.9143,-2.7881
-25.2792,23.8737,-2.7756
-25.3830,23.8314,-2.7622
-25.4871,23.7877,-2.7502
-25.5923,23.7431,-2.7443
-25.6971,23.6976,-2.7354
-25.8002,23.6511,-2.7230
-25.9028,23.6032,-2.7109
-26.0041,23.5550,-2.7009
-26.1036,23.5044,-2.6807
-26.2046,23.4538,-2.6811
-26.3053,23.4027,-2.6729
-26.4052,23.3505,-2.6636
-26.5032,23.2966,-2.6457
-26.6011,23.2411,-2.6323
-26.6992,23.1842,-2.6223
-26.7965,23.1266,-2.6109
-26.8934,23.0672,-2.5993
-26.9901,23.0079,-2.5930
-27.0872,22.9479,-2.5899
-27.1840,22.8876,-2.5856
-27.2798,22.8265,-2.5776
-27.3759,22.7654,-2.5764
-27.4696,22.7035,-2.5612
-27.5614,22.6398,-2.5439
-27.6546,22.5758,-2.5430
-27.7476,22.5119,-2.5395
-27.8408,22.4469,-2.5343
-27.9346,22.3815,-2.5339
-28.0277,22.3147,-2.5231
-28.1206,22.2473,-2.5172
-28.2129,22.1788,-2.5062
-28.3054,22.1100,-2.5061
-28.3984,22.0420,-2.5079
-28.4911,21.9737,-2.5063
-28.5825,21.9049,-2.4995
-28.6748,21.8363,-2.5019
-28.7660,21.7681,-2.5002
-28.8548,21.6989,-2.4838
-28.9425,21.6277,-2.4676
-29.0309,21.5563,-2.4654
-29.1205,21.4850,-2.4684
-29.2103,21.4125,-2.4640
-29.3002,21.3395,-2.4596
-29.3893,21.2657,-2.4529
-29.4766,21.1917,-2.4419
-29.5624,21.1173,-2.4318
-29.6426,21.0430,-2.4038
-29.7210,20.9666,-2.3816
-29.7998,20.8884,-2.3686
-29.8799,20.8095,-2.3687
-29.9605,20.7310,-2.3676
-30.0388,20.6511,-2.3512
-30.1151,20.5693,-2.3311
-30.1914,20.4862,-2.3200
-30.2675,20.4021,-2.3108
-30.3419,20.3168,-2.2958
-30.4162,20.2306,-2.2866
-30.4902,20.1432,-2.2776
-30.5638,20.0556,-2.2715
